store_id,product_id,current_stock,reorder_level,last_updated
1,1,22,35,2026-09-04
1,2,85,17,2026-09-04
1,3,62,16,2026-09-04
1,4,42,16,2026-09-04
1,5,80,21,2026-09-04
1,6,63,29,2026-09-04
1,7,81,23,2026-09-04
1,8,40,27,2026-09-04
1,9,16,35,2026-09-04
1,10,39,40,2026-09-04
1,11,30,26,2026-09-04
1,12,48,30,2026-09-04
1,13,52,26,2026-09-04
1,14,34,25,2026-09-04
1,15,42,40,2026-09-04
1,16,109,25,2026-09-04
1,17,17,35,2026-09-04
1,18,89,20,2026-09-04
1,19,41,17,2026-09-04
1,20,95,15,2026-09-04
1,21,87,17,2026-09-04
1,22,40,15,2026-09-04
1,23,68,17,2026-09-04
1,24,81,17,2026-09-04
1,25,59,30,2026-09-04
1,26,229,20,2026-09-04
1,27,31,17,2026-09-04
1,28,66,20,2026-09-04
1,29,83,30,2026-09-04
1,30,59,18,2026-09-04
1,31,198,20,2026-09-04
1,32,107,25,2026-09-04
1,33,51,27,2026-09-04
1,34,76,15,2026-09-04
1,35,63,25,2026-09-04
1,36,70,29,2026-09-04
1,37,190,20,2026-09-04
1,38,72,15,2026-09-04
1,39,37,19,2026-09-04
1,40,35,29,2026-09-04
1,41,61,24,2026-09-04
1,42,76,23,2026-09-04
1,43,49,18,2026-09-04
1,44,82,15,2026-09-04
1,45,83,27,2026-09-04
1,46,53,29,2026-09-04
1,47,48,21,2026-09-04
1,48,90,30,2026-09-04
1,49,87,25,2026-09-04
1,50,85,20,2026-09-04
1,51,48,17,2026-09-04
1,52,43,19,2026-09-04
1,53,89,18,2026-09-04
1,54,62,15,2026-09-04
1,55,80,18,2026-09-04
1,56,41,26,2026-09-04
1,57,52,23,2026-09-04
1,58,72,23,2026-09-04
1,59,50,29,2026-09-04
1,60,89,21,2026-09-04
2,1,20,35,2026-09-04
2,2,40,27,2026-09-04
2,3,46,16,2026-09-04
2,4,81,29,2026-09-04
2,5,36,24,2026-09-04
2,6,84,17,2026-09-04
2,7,42,18,2026-09-04
2,8,32,23,2026-09-04
2,9,23,35,2026-09-04
2,10,41,40,2026-09-04
2,11,39,30,2026-09-04
2,12,49,16,2026-09-04
2,13,76,23,2026-09-04
2,14,52,28,2026-09-04
2,15,38,40,2026-09-04
2,16,90,25,2026-09-04
2,17,18,35,2026-09-04
2,18,80,21,2026-09-04
2,19,34,20,2026-09-04
2,20,63,15,2026-09-04
2,21,45,20,2026-09-04
2,22,57,25,2026-09-04
2,23,36,19,2026-09-04
2,24,78,23,2026-09-04
2,25,58,20,2026-09-04
2,26,213,20,2026-09-04
2,27,67,19,2026-09-04
2,28,55,22,2026-09-04
2,29,42,29,2026-09-04
2,30,32,16,2026-09-04
2,31,216,20,2026-09-04
2,32,92,25,2026-09-04
2,33,37,17,2026-09-04
2,34,58,15,2026-09-04
2,35,82,17,2026-09-04
2,36,73,20,2026-09-04
2,37,158,20,2026-09-04
2,38,54,15,2026-09-04
2,39,58,28,2026-09-04
2,40,36,26,2026-09-04
2,41,65,23,2026-09-04
2,42,79,19,2026-09-04
2,43,52,17,2026-09-04
2,44,65,15,2026-09-04
2,45,88,30,2026-09-04
2,46,74,24,2026-09-04
2,47,89,20,2026-09-04
2,48,40,22,2026-09-04
2,49,37,25,2026-09-04
2,50,62,21,2026-09-04
2,51,35,21,2026-09-04
2,52,40,30,2026-09-04
2,53,52,30,2026-09-04
2,54,31,21,2026-09-04
2,55,48,15,2026-09-04
2,56,69,29,2026-09-04
2,57,84,18,2026-09-04
2,58,76,17,2026-09-04
2,59,47,26,2026-09-04
2,60,49,22,2026-09-04
3,1,22,35,2026-09-04
3,2,39,29,2026-09-04
3,3,71,23,2026-09-04
3,4,63,18,2026-09-04
3,5,65,29,2026-09-04
3,6,42,18,2026-09-04
3,7,60,25,2026-09-04
3,8,38,30,2026-09-04
3,9,23,35,2026-09-04
3,10,39,40,2026-09-04
3,11,40,23,2026-09-04
3,12,71,27,2026-09-04
3,13,65,25,2026-09-04
3,14,37,19,2026-09-04
3,15,42,40,2026-09-04
3,16,74,25,2026-09-04
3,17,25,35,2026-09-04
3,18,74,26,2026-09-04
3,19,73,27,2026-09-04
3,20,69,15,2026-09-04
3,21,58,24,2026-09-04
3,22,40,16,2026-09-04
3,23,83,16,2026-09-04
3,24,44,18,2026-09-04
3,25,55,18,2026-09-04
3,26,145,20,2026-09-04
3,27,38,17,2026-09-04
3,28,36,18,2026-09-04
3,29,90,18,2026-09-04
3,30,61,16,2026-09-04
3,31,178,20,2026-09-04
3,32,71,25,2026-09-04
3,33,48,30,2026-09-04
3,34,79,15,2026-09-04
3,35,71,30,2026-09-04
3,36,44,30,2026-09-04
3,37,178,20,2026-09-04
3,38,77,15,2026-09-04
3,39,33,26,2026-09-04
3,40,38,18,2026-09-04
3,41,76,29,2026-09-04
3,42,76,15,2026-09-04
3,43,38,16,2026-09-04
3,44,91,15,2026-09-04
3,45,88,22,2026-09-04
3,46,66,30,2026-09-04
3,47,79,16,2026-09-04
3,48,70,17,2026-09-04
3,49,56,22,2026-09-04
3,50,37,28,2026-09-04
3,51,38,25,2026-09-04
3,52,62,17,2026-09-04
3,53,88,16,2026-09-04
3,54,83,29,2026-09-04
3,55,60,18,2026-09-04
3,56,67,27,2026-09-04
3,57,72,30,2026-09-04
3,58,57,30,2026-09-04
3,59,85,23,2026-09-04
3,60,34,27,2026-09-04
